project_name,project_type,city,latitude,longitude,land_area_m2,built_up_area_m2,floors,rooms,daily_water_m3,daily_waste_kg,hazardous_waste_kg_per_month,avg_noise_db,distance_to_residential_m,vegetation_removed_percent,near_sensitive_zone,vehicles_per_day,fuel_consumption_l_per_day,nearest_city_aqi,distance_to_water_body_km,impact_class_numeric,impact_label
Skyline Tower,Residential,Delhi,28.6500,77.1500,5000,35000,25,120,45.5,120.5,15.0,75,50,40,0,500,120.0,350,5.2,2,High
Green Valley Villa,Residential,Bengaluru,12.9800,77.6000,1200,800,2,10,3.5,15.0,2.0,45,200,10,0,10,5.0,90,2.5,0,Low
Tech Park Alpha,Commercial,Noida,28.5500,77.3500,15000,60000,12,300,150.0,450.0,80.0,80,100,60,1,1200,350.0,360,1.5,2,High
Lakeview Apartments,Residential,Hyderabad,17.4000,78.4500,8000,40000,15,200,80.0,250.0,30.0,65,80,30,1,300,80.0,105,0.8,2,High
City Mall,Commercial,Mumbai,19.1000,72.9000,20000,100000,6,500,300.0,1200.0,200.0,85,40,80,0,3000,600.0,150,4.0,2,High
Sunshine School,Institutional,Pune,18.5500,73.8800,10000,5000,3,40,15.0,50.0,5.0,50,150,20,0,80,20.0,110,3.0,1,Moderate
Riverside Resort,Commercial,Kochi,9.9500,76.2800,25000,8000,2,50,40.0,100.0,10.0,55,500,15,1,50,30.0,70,0.1,1,Moderate
Industrial Unit X,Industrial,Chennai,13.1500,80.2000,4000,3000,1,8,25.0,500.0,300.0,90,500,90,0,150,400.0,85,6.0,2,High
Community Center,Public,Jaipur,26.9500,75.8000,2000,1500,2,10,5.0,20.0,1.0,60,100,5,0,20,10.0,190,4.5,0,Low
Metro Station Depot,Infrastructure,Kolkata,22.6000,88.4000,50000,5000,1,20,50.0,200.0,50.0,95,300,70,0,50,200.0,180,2.0,2,High
Eco Friendly Home,Residential,Visakhapatnam,17.7000,83.2500,500,300,2,4,1.2,4.0,0.5,40,50,5,0,2,1.0,95,1.5,0,Low
Highway Motel,Commercial,Lucknow,26.9000,80.9800,3000,2000,3,30,12.0,40.0,5.0,70,1000,40,0,100,50.0,280,5.0,1,Moderate
Luxury Hotel,Commercial,Udaipur,24.5800,73.7100,15000,25000,8,150,120.0,300.0,40.0,60,200,30,1,200,90.0,100,0.5,2,High
Small Clinic,Institutional,Kanpur,26.4600,80.3500,600,800,3,15,8.0,25.0,10.0,55,20,0,0,40,15.0,300,3.0,1,Moderate
IT Office,Commercial,Indore,22.7500,75.9000,5000,15000,7,80,30.0,80.0,8.0,65,80,20,0,250,60.0,120,4.0,1,Moderate
Warehouse,Industrial,Bhopal,23.3000,77.4500,10000,9000,1,5,5.0,50.0,10.0,75,1000,50,0,80,150.0,130,5.5,1,Moderate
Public Park Renovation,Public,Patna,25.6100,85.1500,30000,500,0,0,50.0,30.0,2.0,50,50,10,1,10,5.0,310,1.0,1,Moderate
University Campus,Institutional,Varanasi,25.2600,82.9900,200000,80000,5,500,400.0,1000.0,150.0,65,500,40,0,800,180.0,260,1.2,2,High
Slum Rehab Project,Residential,Ahmedabad,23.0500,72.6000,10000,50000,15,600,180.0,600.0,50.0,80,10,20,0,150,40.0,160,3.5,1,Moderate
Farmhouse,Residential,Chandigarh,30.7600,76.8200,8000,1000,1,6,3.0,10.0,1.0,40,2000,5,0,5,2.0,95,0.2,0,Low
